Month,Total_Trips,Members_Short-Term_Daily,Members_Short-term_Casual_Pass,Members_Short-Term_Weekly,Members_Short-Term_Total,Members_Long-Term_Previous_Subscription_Types,Members_Long-Term_Monthly_Memberships,Members_Long-Term_Total_Sign_ups
Oct_2010,6075,262,0,0,262,1748,0,1748
Nov_2010,7923,333,0,0,333,452,0,452
Dec_2010,5057,193,0,0,193,254,0,254
Jan_2011,3020,128,0,0,128,226,0,226
Feb_2011,4178,133,0,0,133,195,0,195
Mar_2011,6283,124,0,0,124,227,0,227
Apr_2011,5945,204,0,0,204,176,0,176
May_2011,7616,155,0,0,155,217,0,217
Jun_2011,9497,188,0,0,188,196,0,196
Jul_2011,7577,198,0,0,198,167,0,167
Aug_2011,8194,348,0,16,364,164,0,164
Sep_2011,11326,1051,0,61,1112,166,0,166
Oct_2011,10908,899,0,58,957,119,0,119
Nov_2011,11315,916,0,72,988,185,0,185
Dec_2011,11102,1515,0,92,1607,201,0,201
Jan_2012,14323,1941,0,130,2071,305,0,305
Feb_2012,15003,1400,0,71,1471,360,0,360
Mar_2012,16464,1282,0,74,1356,353,0,353
Apr_2012,17794,1909,0,118,2027,243,0,243
May_2012,18874,1999,0,103,2102,223,0,223
Jun_2012,15755,1581,0,123,1704,180,0,180
Jul_2012,19774,2379,0,103,2482,272,0,272
Aug_2012,22297,2381,0,103,2484,248,0,248
Sep_2012,21326,2481,0,101,2582,246,0,246
Oct_2012,20553,1978,0,99,2077,204,0,204
Nov_2012,19213,1940,0,82,2022,212,0,212
Dec_2012,15966,1970,0,89,2059,168,0,168
Jan_2013,16219,1852,0,100,1952,220,0,220
Feb_2013,14573,1541,0,67,1608,233,0,233
Mar_2013,18180,1918,0,68,1986,211,0,211
Apr_2013,19678,2435,0,82,2517,233,0,233
May_2013,19491,1830,0,75,1905,177,0,177
Jun_2013,17495,1913,0,54,1967,128,0,128
Jul_2013,19209,2561,0,90,2651,213,0,213
Aug_2013,21593,2722,0,98,2820,238,0,238
Sep_2013,21522,2583,0,85,2668,234,0,234
Oct_2013,21843,2495,0,108,2603,214,0,214
Nov_2013,20575,2416,0,93,2509,177,0,177
Dec_2013,19600,2835,0,129,2964,144,0,144
Jan_2014,22703,2973,0,133,3106,237,0,237
Feb_2014,21912,2227,0,77,2304,305,0,305
Mar_2014,24662,2393,0,72,2465,280,0,280
Apr_2014,23783,2998,0,107,3105,223,0,223
May_2014,24369,2506,0,83,2589,183,0,183
Jun_2014,22640,2670,0,85,2755,199,0,199
Jul_2014,25235,3353,0,117,3470,285,0,285
Aug_2014,22473,2636,0,84,2720,182,0,182
Sep_2014,24049,2644,0,129,2773,253,0,253
Oct_2014,28844,3617,0,135,3752,313,0,313
Nov_2014,26020,3025,0,187,3212,240,0,240
Dec_2014,22956,3195,0,147,3342,197,0,197
Jan_2015,23526,3436,0,116,3552,231,0,231
Feb_2015,23140,2690,0,96,2786,318,0,318
Mar_2015,30572,3139,0,131,3270,325,0,325
Apr_2015,27720,3912,0,130,4042,245,0,245
May_2015,28550,3543,0,105,3648,205,0,205
Jun_2015,23973,3140,0,86,3226,170,0,170
Jul_2015,28770,4154,0,120,4274,321,0,321
Aug_2015,32159,4752,0,168,4920,287,0,287
Sep_2015,30734,4108,0,128,4236,299,0,299
Oct_2015,33994,4880,0,130,5010,261,0,261
Nov_2015,30488,3721,0,171,3892,274,0,274
Dec_2015,30625,5225,0,168,5393,206,0,206
Jan_2016,30752,5380,0,164,5544,262,0,262
Feb_2016,31016,3765,0,148,3913,342,0,342
Mar_2016,34804,5049,0,151,5200,328,0,328
Apr_2016,36596,6423,0,161,6584,301,0,301
May_2016,37861,6170,0,198,6368,322,0,322
Jun_2016,27677,4136,0,157,4293,200,0,200
Jul_2016,35625,7215,0,224,7439,388,0,388
Aug_2016,39151,6590,0,220,6810,349,0,349
Sep_2016,37304,6248,0,261,6509,295,0,295
Oct_2016,40865,6774,0,248,7022,325,0,325
Nov_2016,40518,0,5298,0,5298,0,771,771
Dec_2016,39848,0,6820,0,6820,0,606,606
Jan_2017,44128,0,6835,0,6835,0,952,952
Feb_2017,43110,0,4674,0,4674,0,1020,1020
Mar_2017,47900,0,4945,0,4945,0,972,972
Apr_2017,54225,0,8230,0,8230,0,1071,1071
May_2017,52884,0,5680,0,5680,0,937,937
Jun_2017,46830,0,5640,0,5640,0,768,768
Jul_2017,57256,0,8111,0,8111,0,1345,1345
Aug_2017,63803,0,6925,0,6925,0,1205,1205
Sep_2017,67769,0,9281,0,9281,0,975,975
Oct_2017,59458,0,7389,0,7389,0,802,802
Nov_2017,62263,0,7916,0,7916,0,725,725
Dec_2017,57141,0,9496,0,9456,0,647,647
Jan_2018,64261,0,10407,0,10407,0,858,858
Feb_2018,52937,0,6300,0,6300,0,986,986
Mar_2018,63795,0,8589,0,8589,0,932,932
Apr_2018,68497,0,10561,0,10561,0,984,984
May_2018,69525,0,8575,0,8575,0,873,873
Jun_2018,60628,0,8418,0,8418,0,768,768
Jul_2018,68472,0,11545,0,11545,0,1068,1068
Aug_2018,67046,0,9463,0,9463,0,922,922
Sept_2018,62827,0,9101,0,9101,0,820,820
Oct_2018,59943,0,7768,0,7768,0,825,825
Nov_2018,71663,0,9617,0,9617,0,903,903
Dec_2018,63112,0,10652,0,10652,0,728,728
