OBJECTID,NAME,DESCRIPTION,COMMENTS,GLOBALID,CREATED_DA,LAST_EDI_1,SHAPE_AREA,SHAPE_LEN
307,DOG EXERCISE AREAS,PRESTON PARK,,{1D137102-84BB-4785-8432-7AEDE9E0BE9A},,,2311.197102,193.8253619
308,DOG EXERCISE AREAS,MANGROVE JACK PARK,,{A9B5E266-B723-4486-B78F-7674054EFE85},,,6969.378052,356.2588685
641,DOG EXERCISE AREAS,BAKER CREEK PARKLANDS,Aligned with Fence lines,{48AA700A-6170-4653-A5C9-19BF626812CA},,,1198.678097,156.7911405
961,DOG EXERCISE AREAS,PARADISE POINT PARKLANDS,,{10A3B7B7-F3DD-4006-84DF-9137167A01DC},,,5898.794478,422.302937
1281,DOG EXERCISE AREAS,COTLEW STREET EAST,,{E3B415F3-DBF3-4F3D-BB3B-4E119819007C},,,924.330529,126.8405337
1601,DOG EXERCISE AREAS,BIGGERA WATERS BEACH,DOG OFF LEASH AREA BETWEEN 5AM-8AM AND 4PM-7PM ONLY,{1663BFCF-D281-4AF0-AEE6-2E454E9C93C5},,,11307.89379,1015.084676
80,DOG EXERCISE AREAS,LAGUNA PARK,,{DAA092EF-7B55-4DA6-8759-28AFBF020C01},,10/04/2014,5451.454033,394.1928332
110,DOG EXERCISE AREAS,PIZZEY PARK,BETWEEN TENNIS COURTS AND ATHLETICS TRACK,{622CC2F1-0255-4B55-9155-CA19167B2321},,10/04/2014,144311.8842,1519.971759
81,DOG EXERCISE AREAS,LAGUNA PARK,,{19A17A4C-D8DC-4033-97FE-07C1F4EAF8B8},,10/04/2014,11184.77987,941.6158257
88,DOG EXERCISE AREAS,MALLAWA SPORTS COMPLEX,NINETEENTH AVENUE PALM BEACH,{7CA85163-18E3-4B06-9D50-8D64E7C31C56},,18/08/2014,167442.1527,2008.612813
1608,DOG EXERCISE AREAS,NICK PAVLIS PARK,WHITING STREET LABRADOR,{A083835A-2944-4FB3-BA08-FC3DB59A04FD},5/08/2014,18/08/2014,2088.190454,185.3467376
1609,DOG EXERCISE AREAS,NORTH ROAD BEECHMONT PARKLAND,NORTH ROAD LOWER BEECHMONT,{7ED475A1-23BC-4077-A0E8-B82F61A80AB8},5/08/2014,18/08/2014,1677.209803,163.9517179
92,DOG EXERCISE AREAS,MUSGRAVE PARK,MUSGRAVE AVENUE SOUTHPORT,{FEB66CC3-9AC4-42C3-8F7A-5581B11BFE50},,18/08/2014,177577.3742,1737.475276
99,DOG EXERCISE AREAS,MELROSE PARK,,{46F94CB7-87D5-4146-910B-839B6D3D8B4C},,18/08/2014,13371.7037,666.0211544
102,DOG EXERCISE AREAS,O'CONNELL PARK,OCEAN STREET RUNAWAY BAY,{6AF31720-BA7C-441A-90A4-461274BE1A49},,18/08/2014,20210.14897,600.8927751
105,DOG EXERCISE AREAS,"ROCKVIEW PUBLIC PARK
ROCKVIEW PUBLIC PARK",GOLD COAST HIGHWAY PALM BEACH SOUTH,{E7315F02-ED9E-4C98-B790-CE73C6EE0FFB},,18/08/2014,83258.10735,1348.901902
119,DOG EXERCISE AREAS,ORPHEUS PARK,CHELTENHAM DRIVE ROBINA,{D48F53AC-614D-4037-AC0D-9E9981E3FAE5},,18/08/2014,6874.193336,364.5071964
1613,DOG EXERCISE AREAS,KAMHOLTZ FAMILY PARK,MCLAREN ROAD NERANG,{4743812C-B627-4A58-8D6C-BB44BD64538E},5/08/2014,18/08/2014,842.7555049,136.2638606
1614,DOG EXERCISE AREAS,DAMIEN LEEDING MEMORIAL PARK,PRINCETON STREET OXENFORD,{131A528C-4ACC-4FBA-8D44-8661C9310B78},5/08/2014,18/08/2014,8587.560906,393.9998782
38,DOG EXERCISE AREAS,EDDIE KORNHAUSER RECREATIONAL RESERVE,WEST TALLEBUDGERA CONNECTION ROAD ELANORA,{DDF7718B-F8BA-4268-B20B-51B3CE7D0208},,18/08/2014,63424.90468,1197.279649
1616,DOG EXERCISE AREAS,FLOODED GUM PARK,MCAULEY PARADE PACIFIC PINES,{22D7B8E1-8161-43CD-9C18-01B7A4214424},5/08/2014,18/08/2014,7637.302364,436.7231658
1617,DOG EXERCISE AREAS,GEORGE DACCA BRAMLEY PARK,TALLEBUDGERA CREEK ROAD TALLEBUDGERA,{702E069B-FD4F-44B0-A294-DD0AB5B5EF84},5/08/2014,18/08/2014,37944.91932,796.1184958
123,DOG EXERCISE AREAS,GOLD COAST REGIONAL BOTANIC GARDEN ROSSER PARK,Royal Pines Golf Course,{00705E51-070A-41A3-81D7-AF3D540E4C6E},,18/08/2014,64181.19142,1835.463198
1611,DOG EXERCISE AREAS,HINTERLAND REGIONAL PARK,HARDYS ROAD MUDGEERABA,{25C93663-CE04-4E02-9D38-867ED4D9C3F4},5/08/2014,18/08/2014,3542.25677,286.1098361
1610,DOG EXERCISE AREAS,HINTERLAND REGIONAL PARK,HARDYS ROAD MUDGEERABA,{9A77307F-2C5B-4A7F-89BF-5F0AAE14A1D0},5/08/2014,18/08/2014,6056.81876,313.6445426
2564,DOG EXERCISE AREAS,JACOB COURT RESERVE,NICOLA WAY UPPER COOMERA,{B3F8CF1D-7D10-4A03-8B3C-752669CFFDE9},18/08/2014,18/08/2014,748.0223773,117.1650487
115,DOG EXERCISE AREAS,RIDGE TOP PARK,,{06FC5FBF-2BBF-473F-93CD-53CD4C0681F9},,,27359.87296,1019.626617
117,DOG EXERCISE AREAS,ROBINA COMMON,NOT ON PLAYING FIELDS,{93CB1621-194D-4910-BC1B-FAFDAFFE8F50},,,78792.53734,3003.007681
120,DOG EXERCISE AREAS,ROBINSON PARK,,{19EF24B5-F9E7-44C0-A8E6-2F58D471750D},,,33196.93689,743.2461926
121,DOG EXERCISE AREAS,RON SHORT PARK,,{B9D1CBB9-229A-49BA-A3CA-7214C0BBDD6E},,,15999.08714,517.681094
125,DOG EXERCISE AREAS,RUGBY PARK,"PARK AREA BEHIND KINDERGARTEN, ASHFORD ROAD TO SWIMMING POOL",{A5314037-DD53-4A22-B1E5-2EC89976FD2D},,,19202.57599,930.1248263
130,DOG EXERCISE AREAS,SALIX RESERVE EAST,AREA BETWEEN MILDURA DR AND RAILWAY,{9F6226DA-1E78-489F-B33E-3B4B770A58BC},,,11649.35439,918.4695006
96,DOG EXERCISE AREAS,MORGAN FAMILY PARK,,{03A8FD53-B11D-49A4-9F53-6510466406D7},,19/08/2014,74849.78474,1852.559168
28,DOG EXERCISE AREAS,CHEVRON ISLAND PARK,,{1CC500BF-9258-46A9-B9DF-4714C03D3208},,21/08/2014,10542.31149,409.1769692
51,DOG EXERCISE AREAS,FRASCOTT PARK,,{F62D4319-08CE-48EC-AAC4-79543C441219},,22/08/2014,7599.682455,355.7376728
1604,DOG EXERCISE AREAS,MITCHELL PARK,,{792C731C-B47A-41A5-AB9E-70938767D2CA},5/08/2014,5/08/2014,37126.7474,762.3766884
284,DOG EXERCISE AREAS,SUN VALLEY PARK,PARASOL STREET ASHMORE,{70A48BE6-D35D-4C04-A4D0-AA0047E78D43},,18/08/2014,89656.99259,2940.291197
133,DOG EXERCISE AREAS,SCENIC PARK,"END OF SCENIC AVE, BACKING ON TO RESERVE",{14B3B504-8FE6-4F09-A583-5A497DD581FC},,,11029.98559,561.9132771
134,DOG EXERCISE AREAS,SCHUSTERS PARK,,{C9669E8F-7817-4A5E-BD16-56789FDDFB16},,,75209.04972,2527.803091
282,DOG EXERCISE AREAS,STONER FAMILY PARK,,{3013B8B5-5A90-4C9E-9C3D-BBE46BB00607},,,89282.67617,1593.817382
283,DOG EXERCISE AREAS,SUNGOLD RESERVE DRAINAGE EASEMENT,,{5ED385FC-B59B-42FD-AB9B-50E08E351843},,,54627.88547,1233.66968
285,DOG EXERCISE AREAS,SWIFT PARK,,{EABA5530-E9CE-4EDB-8C58-1A1990C47C11},,,50245.48538,1390.338581
286,DOG EXERCISE AREAS,SYD DUNCAN PARK,,{0DDCE5A7-E26D-456D-956F-AF968F0FA1D5},,,1686.74848,166.505008
287,DOG EXERCISE AREAS,TAKASU GARDENS,,{4396DCA3-71F2-460C-A6B3-48FF4BBC20C9},,,85856.31179,1849.339142
288,DOG EXERCISE AREAS,TALLEBUDGERA BEACH,NORTH OF TALLEBUDGERA BATHING RESERVE TO TALLEBUDGERA CREEK,{ACCA0D91-F0B7-484A-9729-1875B6A83868},,,86304.88328,1300.502551
292,DOG EXERCISE AREAS,THE VILLAGE PARK,"DRAINAGE RESERVE, FROM BRIDGE TO SERVICE STATION",{7FA0B581-4AE0-4BBA-8AE5-3808C98712DC},,,26476.66531,1214.446953
297,DOG EXERCISE AREAS,WARD PARK,,{A7EAD0DC-DA75-48E1-922B-C0E8D5100FF8},,,26692.42064,806.4435146
299,DOG EXERCISE AREAS,WONGA PARK,,{0A3AEA94-5679-4E55-AB4D-29CF5E875E3E},,,3749.208685,277.6624306
300,DOG EXERCISE AREAS,WOODROFFE PARK,,{12BFA7A7-E6AD-45D6-98BD-DAFD61301A99},,,11965.4509,579.1782236
301,DOG EXERCISE AREAS,DUNGARA PARK,,{5C729B4D-DC12-4330-BD0D-EC4DDCBC0A5C},,,9941.652242,515.3203357
302,DOG EXERCISE AREAS,DAVENPORT PARK,,{A425496A-DED4-45B9-8F9E-372363050301},,,35709.0835,994.0063059
303,DOG EXERCISE AREAS,RIVERSTONE CROSSING RESERVE,,{3F7C6B72-C405-41D4-BF7D-98B6FE056F49},,,67487.39288,1026.563123
2579,DOG EXERCISE AREAS,BLACK STUMP PARK,BARATTA STREET SOUTHPORT,{A64C96AB-0895-4D66-B541-51CA34486A4A},18/08/2014,18/08/2014,22241.62633,824.2162812
131,DOG EXERCISE AREAS,WEKA PARKLANDS,KOPPS ROAD OXENFORD,{8D3BB421-99CB-469D-A384-7B4C70B9333F},,18/08/2014,2120.70841,196.2055428
114,DOG EXERCISE AREAS,"EWART PARK
EWART PARK
EWART PARK",EWART STREET BURLEIGH HEADS,{752F526D-6A7F-421C-B4E1-DE3AB3D2A05B},,18/08/2014,1225.952645,154.4292912
66,DOG EXERCISE AREAS,JACOBS WELL CONSERVATION RESERVE,HARBOUR BOULEVARDE JACOBS WELL,{7EB76C09-0275-4FA1-BAC2-0381EACF3D4F},,18/08/2014,4931.560099,352.6763203
2242,DOG EXERCISE AREAS,CHRISTINA RYAN PARK,,{4A7561EC-2CAC-477E-A6AD-7D5D6982115A},6/08/2014,6/08/2014,1540.341286,177.4619755
52,DOG EXERCISE AREAS,GALAPAGOS PARK,,{D84012CC-C20D-43CF-8A34-1810618E8FB1},,6/08/2014,65223.36102,1364.607627
1,DOG EXERCISE AREAS,AARON ANDREWS PARK,,{3EA90ED5-2BF9-4CEC-AD0A-32D6F5BCC4BE},,,6414.908488,425.8934988
2,DOG EXERCISE AREAS,ABBOTT PARK,,{E8D2AF79-5F19-4562-AD2F-CC5C53F91940},,,10483.9365,458.1278521
3,DOG EXERCISE AREAS,ALBERT PARK,,{FB83B06B-6AA9-4119-9270-8BA6B6796FC1},,,226591.7574,2021.466616
5,DOG EXERCISE AREAS,APPEL PARK,,{16373976-4833-424F-BB85-D557E2C17411},,,5491.078983,337.3551563
6,DOG EXERCISE AREAS,ATKIN PARK,NORTH END ADJACENT TO BOWLS CLUB,{27A9DAF6-A493-4E11-B381-CA73EFFE79AF},,,36633.58938,769.8399131
7,DOG EXERCISE AREAS,AUGUST BUROW PARK,,{2D511F4F-B53C-4DC2-8957-08A62761C33D},,,11345.52651,435.4656289
8,DOG EXERCISE AREAS,BAYVIEW PARK,,{678CE942-8E71-49B2-9CF2-EC3D0389AD22},,,24521.24903,861.0375177
9,DOG EXERCISE AREAS,BEENLEIGH BRANCH LITTLE ATHLETICS CENTRE,,{537A500E-16C6-4378-88A1-3C9FB101D8AA},,,297507.2749,2908.317787
10,DOG EXERCISE AREAS,BENOWA PARK,,{C07E1B02-4690-4D32-B28D-A1A3F8E53645},,,25127.89464,738.9940073
11,DOG EXERCISE AREAS,BETHANIA COMMUNITY CENTRE,,{8CE0CAE8-46B2-4655-B47B-95CC59C4683A},,,38819.38275,904.1928553
14,DOG EXERCISE AREAS,BOAT HARBOUR PARK,,{3A44E2E2-FFD6-43BC-B0AA-08502BABFABA},,,12028.37526,435.1757661
15,DOG EXERCISE AREAS,BOONOOROO PARK,,{80584CAD-79A2-441A-AB2C-D8C433805202},,,181127.1373,4773.646721
16,DOG EXERCISE AREAS,BRIEN HARRIS PARK,,{9D39D6EE-0ACC-40EC-9B89-460968A33AB9},,,422457.7026,10943.26749
18,DOG EXERCISE AREAS,BROMLEY PARK,,{3C447352-E047-4A48-9DEA-A5C0FAB9DAD8},,,2677.874779,213.1854651
19,DOG EXERCISE AREAS,BUCKLEY FAMILY PARK,,{2894B943-766D-4E3F-8D24-13F623C8C122},,,4732.508146,423.783444
21,DOG EXERCISE AREAS,BURCHILL PARK,DOGS REQUIRED TO BE ON LEADS FOR ACCESS TO EXERCISE AREAS FROM CARPARK,{03AE38B2-EBD4-4D91-BFAD-E49E949D1F7D},,,61147.1206,1863.422678
22,DOG EXERCISE AREAS,BURLEIGH LAKE PARK,,{B7F53DE1-EDF0-4544-A2F3-E331106F03F5},,,11597.94816,756.7506638
23,DOG EXERCISE AREAS,CAMPBELL DUNCAN PARK,,{37CF6AFE-E6FE-4B88-BAE7-9A76487A4D6D},,,47288.84151,1136.214374
24,DOG EXERCISE AREAS,CAREEL RESERVE,FROM CAREEL CLOSE TO SEWEAGE PUMP STATION,{83716183-D93D-43BF-9781-1A1855525F53},,,29161.12681,1086.552039
25,DOG EXERCISE AREAS,CARRARA OVAL CARPARK,SOUTHERN SIDE,{B735FD2D-FEF3-4898-BE55-42B7626A99DD},,,129296.9408,1573.968746
26,DOG EXERCISE AREAS,CEC CLARK PARK,,{84D7493D-2BC3-4F79-BF9E-2614533B883D},,,51624.38415,1104.537962
27,DOG EXERCISE AREAS,CECIL ZIPF PARK,,{4B8C7526-A8CE-483E-AB26-7D0D2A5009EF},,,53548.75712,1100.146447
32,DOG EXERCISE AREAS,COOLIBAH PARK,AMENITY PARKS,{338CC1BF-551A-4BD4-9CC7-5EF5BE0D0A64},,,4015.088285,366.5220083
1612,DOG EXERCISE AREAS,CAROL MOORE PARK,DUGANDAN STREET NERANG,{4B141994-692B-4E76-933B-3535A0B9E5DD},5/08/2014,17/08/2014,18709.83072,760.9241001
1615,DOG EXERCISE AREAS,AQUIFER RESERVE,"PITCAIRN WAY PACIFIC PINES
PACIFIC PINES
PITCAIRN WAY PACIFIC PINES",{0FBCD29B-B498-4B00-A3FE-D21C381EB4E2},5/08/2014,17/08/2014,14232.85334,429.7868749
2252,DOG EXERCISE AREAS,GREEN GLEN PARK,CURRUMBURRA ROAD ASHMORE,{D4CEFD13-49CA-4FD7-B9F7-E2D536115B50},13/08/2014,17/08/2014,23561.94062,938.6556108
12,DOG EXERCISE AREAS,BETTY DIAMOND SPORTS COMPLEX,"BOYD STREET BILINGA
BILINGA",{E93DDE59-198D-49BD-AB64-92718744CDC8},,17/08/2014,27054.27518,788.0161554
29,DOG EXERCISE AREAS,CHIBA PARK,TALLARA STREET COOMBABAH,{A77AABBD-3A96-423D-8EC7-ADACACE3F69F},,17/08/2014,50283.4632,1493.644623
34,DOG EXERCISE AREAS,CRANE STREET RESERVE,,{65145331-79AE-4C4F-8F08-16220628A428},,,10669.07979,926.3917771
36,DOG EXERCISE AREAS,DEODAR PARK,,{9064D82E-7BD5-442E-9F8B-2A4C3B95E93C},,,22540.39564,596.6149603
37,DOG EXERCISE AREAS,DISCOVERY PARK,,{77287C5F-AE1D-4378-96E7-F527FBFAFCD6},,,65932.70236,2416.98233
39,DOG EXERCISE AREAS,ELANORA OVAL,,{D6EE273E-BA53-44B1-9995-1FC705658DD3},,,43451.07602,890.5925223
40,DOG EXERCISE AREAS,ELFIN PARK,,{58D79AE5-A794-463A-B99D-0381B2DEA584},,,18368.86894,685.3131454
41,DOG EXERCISE AREAS,ERNIE TEBB PARK,NORTHERN HALF OF PARK ONLY,{96211B68-C950-4A33-936D-CBC08D1D8312},,,13880.13033,485.4639902
42,DOG EXERCISE AREAS,EVANDALE,"BOUNDED BY CROMBIE AVE, BUNDALL ROAD, CAR PARK ADN DRIVEWAY",{EDA0760A-0B6C-4E56-B774-48CB24D007EF},,,25702.90063,689.0359531
31,DOG EXERCISE AREAS,COLLINGWOOD COURT PARKLANDS,OLSEN AVENUE ARUNDEL,{1D161366-7D74-4285-AAA3-42070C8BD03E},,17/08/2014,322487.5022,3048.545145
67,DOG EXERCISE AREAS,HIGHLAND RESERVE PARK,,{037FCFD1-9E02-48A7-BCBA-B17AAFA85507},,24/08/2014,1564.101292,159.5677182
296,DOG EXERCISE AREAS,VENNOR RESERVE,FENCED AREA,{887C2C48-D90B-4B97-981E-6C37F4D6EA49},,24/08/2014,4420.897854,291.9894419
304,DOG EXERCISE AREAS,RUFOUS WHISTLER PARK,RIFLE RANGE ROAD PIMPAMA,{4FCAE967-B1B8-4271-BC17-5E43E86833A5},,24/08/2014,2558.943872,211.4962309
69,DOG EXERCISE AREAS,JAMES OVERELL PARK,BRIGHTON PARADE SOUTHPORT,{A930DFB7-EB8A-4D9C-9767-B9380319D4BB},,18/08/2014,45749.46948,920.9927681
71,DOG EXERCISE AREAS,JOHN SIGANTO PARK,RESERVE ROAD UPPER COOMERA,{83E56C87-7B5E-4C79-B4B8-4F506F72DBAD},,18/08/2014,12504.94568,452.9010919
86,DOG EXERCISE AREAS,LITTLE NERANG ROAD PARK,LITTLE NERANG ROAD LABRADOR,{186F73E2-9AAA-4931-9FE1-840D91C3EF9F},,18/08/2014,11925.22798,502.2404907
44,DOG EXERCISE AREAS,EXPLORERS WAY,POWERLINE EASEMENT,{ACF6DBA2-DC34-42CB-A571-EF9D9A293969},,,50100.631,2098.477444
47,DOG EXERCISE AREAS,FEDERATION DRIVE RESERVE,,{DE5BECA5-7B42-4EA8-A8F5-6903C5C10901},,,27981.58545,832.5417251
48,DOG EXERCISE AREAS,FEDERATION PARK,,{E8D18EA3-979C-4496-93CB-EC758C90F57A},,,3554.618827,240.7271771
50,DOG EXERCISE AREAS,FRANQUIN PARK,,{7F455D0B-6595-4879-99A0-51003D845703},,,7125.167609,332.3184612
53,DOG EXERCISE AREAS,GAMBAMORA PARK,,{022E1024-6661-43F2-8B6B-554D186A2BC1},,,56387.86168,1235.381133
54,DOG EXERCISE AREAS,GLADYS MONCRIEFF PARK,,{8693D5A8-AB54-4993-A782-9F97FD1BF325},,,9481.654,396.2551175
55,DOG EXERCISE AREAS,GLENMORE PARK,,{307761F0-FC4C-436C-AB51-809F62814125},,,53590.76752,2207.889437
56,DOG EXERCISE AREAS,GOLD COAST BULLETIN CENTENARY PARK,,{85C3A280-7904-4F62-96A9-9A1AD4F8D2BB},,,14454.2425,1020.557383
57,DOG EXERCISE AREAS,GOLD COAST BULLETIN CENTENARY PARK,,{231A7B2E-992A-48E3-8EB5-6BD2596659AD},,,17229.35773,1067.631931
58,DOG EXERCISE AREAS,GOODWIN PARK,EAST OF DIVIDED ROAD NEAR CENTOTAPH,{9A57D23E-AB55-4468-B3D0-3B1C5F3207C8},,,66216.69426,1066.366267
59,DOG EXERCISE AREAS,GRASSED AREA,,{DE80312E-ABFD-46A9-9A47-0D03321A58DA},,,5773.502985,653.8412475
64,DOG EXERCISE AREAS,HART PARK,,{3C168192-CAC2-42EC-883B-D72A098F9D58},,,11273.30404,440.1107443
65,DOG EXERCISE AREAS,HARVEST PARK,,{510A03F1-B412-42D8-BD48-4876D28E82ED},,,3278.761643,403.8304534
68,DOG EXERCISE AREAS,JACK WILSON PARK,,{D33B736F-48B3-4FCA-839B-53105EE32FB6},,,47268.0047,1578.847107
72,DOG EXERCISE AREAS,KEEBRA PARK,,{C4B0DDAF-1E42-4A95-942E-8F43BFCA43EB},,,9279.84422,533.1829531
75,DOG EXERCISE AREAS,KERRYDALE PARK,,{09DF218E-8352-48E5-99E8-0972DD668CA3},,,38721.15333,1224.203959
1607,DOG EXERCISE AREAS,RIESENWEBER PARK,JACOBS WELL,{90862136-DB4F-483D-921D-C4EC890B0BA7},5/08/2014,18/08/2014,1167.005388,138.7347264
